class,0,1,2,3,4,5,6,7,8,9
0,4945,1,31,3,2,0,0,4,6,8
1,3,4979,1,1,0,0,0,0,0,16
2,6,0,4980,2,4,3,4,1,0,0
3,4,0,27,4954,1,10,2,0,0,2
4,5,1,29,15,4932,4,5,9,0,0
5,0,0,18,78,18,4872,3,11,0,0
6,0,1,14,29,2,4,4949,1,0,0
7,2,0,17,14,2,7,0,4956,1,1
8,21,4,5,9,2,0,2,2,4924,31
9,4,2,3,0,1,0,3,1,1,4985
