class,0,1,2,3,4,5,6,7,8,9
0,887,12,20,15,2,0,3,28,28,5
1,3,974,1,5,1,0,1,1,3,11
2,21,1,874,22,16,10,15,33,4,4
3,9,2,59,789,14,22,19,81,5,0
4,7,0,49,23,813,8,3,97,0,0
5,3,1,48,109,9,663,7,155,5,0
6,7,1,23,34,11,4,895,20,2,3
7,1,0,7,5,4,2,0,980,0,1
8,28,20,11,12,0,2,0,6,914,7
9,12,68,2,7,1,0,0,12,14,884
