class,0,1,2,3,4,5,6,7,8,9
0,948,2,18,2,3,0,3,0,21,3
1,14,951,0,1,0,1,0,0,15,18
2,45,0,857,28,31,13,14,8,3,1
3,22,1,43,745,42,71,36,22,12,6
4,13,0,37,18,902,5,7,14,4,0
5,13,0,20,114,31,791,4,25,1,1
6,5,1,25,27,7,5,927,1,2,0
7,26,0,9,8,35,10,0,908,2,2
8,55,6,5,3,0,0,2,0,922,7
9,38,36,2,8,1,0,0,2,21,892
