class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.717000000000000000e+03, 1.500000000000000000e+01, 7.100000000000000000e+01, 3.200000000000000000e+01, 1.700000000000000000e+01, 6.000000000000000000e+00, 1.200000000000000000e+01, 1.500000000000000000e+01, 7.800000000000000000e+01, 3.700000000000000000e+01
1, 1.600000000000000000e+01, 4.857000000000000000e+03, 7.000000000000000000e+00, 6.000000000000000000e+00, 2.000000000000000000e+00, 3.000000000000000000e+00, 7.000000000000000000e+00, 3.000000000000000000e+00, 3.300000000000000000e+01, 6.600000000000000000e+01
2, 1.160000000000000000e+02, 3.000000000000000000e+00, 4.567000000000000000e+03, 7.700000000000000000e+01, 6.900000000000000000e+01, 4.700000000000000000e+01, 7.600000000000000000e+01, 2.600000000000000000e+01, 1.500000000000000000e+01, 4.000000000000000000e+00
3, 3.000000000000000000e+01, 6.000000000000000000e+00, 7.700000000000000000e+01, 4.392000000000000000e+03, 7.600000000000000000e+01, 2.790000000000000000e+02, 8.100000000000000000e+01, 4.200000000000000000e+01, 5.000000000000000000e+00, 1.200000000000000000e+01
4, 1.900000000000000000e+01, 0.000000000000000000e+00, 7.000000000000000000e+01, 7.300000000000000000e+01, 4.689000000000000000e+03, 4.500000000000000000e+01, 2.800000000000000000e+01, 6.700000000000000000e+01, 7.000000000000000000e+00, 2.000000000000000000e+00
5, 6.000000000000000000e+00, 6.000000000000000000e+00, 5.500000000000000000e+01, 3.380000000000000000e+02, 5.800000000000000000e+01, 4.420000000000000000e+03, 3.100000000000000000e+01, 8.000000000000000000e+01, 4.000000000000000000e+00, 2.000000000000000000e+00
6, 1.200000000000000000e+01, 4.000000000000000000e+00, 6.200000000000000000e+01, 5.900000000000000000e+01, 3.700000000000000000e+01, 3.100000000000000000e+01, 4.771000000000000000e+03, 5.000000000000000000e+00, 1.200000000000000000e+01, 7.000000000000000000e+00
7, 1.200000000000000000e+01, 3.000000000000000000e+00, 3.400000000000000000e+01, 5.800000000000000000e+01, 5.100000000000000000e+01, 6.800000000000000000e+01, 5.000000000000000000e+00, 4.753000000000000000e+03, 3.000000000000000000e+00, 1.300000000000000000e+01
8, 7.800000000000000000e+01, 2.900000000000000000e+01, 1.700000000000000000e+01, 9.000000000000000000e+00, 9.000000000000000000e+00, 1.000000000000000000e+00, 9.000000000000000000e+00, 4.000000000000000000e+00, 4.824000000000000000e+03, 2.000000000000000000e+01
9, 3.800000000000000000e+01, 8.500000000000000000e+01, 8.000000000000000000e+00, 6.000000000000000000e+00, 1.000000000000000000e+00, 3.000000000000000000e+00, 8.000000000000000000e+00, 8.000000000000000000e+00, 2.600000000000000000e+01, 4.817000000000000000e+03
