class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.232000000000000000e+03, 3.700000000000000000e+01, 1.830000000000000000e+02, 8.000000000000000000e+01, 6.500000000000000000e+01, 1.800000000000000000e+01, 2.700000000000000000e+01, 4.900000000000000000e+01, 1.950000000000000000e+02, 1.140000000000000000e+02
1, 5.300000000000000000e+01, 4.589000000000000000e+03, 1.200000000000000000e+01, 1.600000000000000000e+01, 5.000000000000000000e+00, 7.000000000000000000e+00, 1.500000000000000000e+01, 1.000000000000000000e+01, 7.700000000000000000e+01, 2.160000000000000000e+02
2, 2.750000000000000000e+02, 1.500000000000000000e+01, 3.716000000000000000e+03, 1.850000000000000000e+02, 2.590000000000000000e+02, 1.680000000000000000e+02, 2.310000000000000000e+02, 9.600000000000000000e+01, 3.700000000000000000e+01, 1.800000000000000000e+01
3, 8.900000000000000000e+01, 1.100000000000000000e+01, 1.970000000000000000e+02, 3.407000000000000000e+03, 1.960000000000000000e+02, 6.480000000000000000e+02, 2.210000000000000000e+02, 1.370000000000000000e+02, 5.400000000000000000e+01, 4.000000000000000000e+01
4, 7.400000000000000000e+01, 3.000000000000000000e+00, 2.110000000000000000e+02, 1.700000000000000000e+02, 4.087000000000000000e+03, 9.300000000000000000e+01, 1.400000000000000000e+02, 1.970000000000000000e+02, 1.700000000000000000e+01, 8.000000000000000000e+00
5, 1.900000000000000000e+01, 1.000000000000000000e+01, 1.630000000000000000e+02, 7.150000000000000000e+02, 1.460000000000000000e+02, 3.616000000000000000e+03, 8.400000000000000000e+01, 2.250000000000000000e+02, 1.000000000000000000e+01, 1.200000000000000000e+01
6, 2.300000000000000000e+01, 2.100000000000000000e+01, 1.670000000000000000e+02, 1.950000000000000000e+02, 1.290000000000000000e+02, 6.700000000000000000e+01, 4.336000000000000000e+03, 1.900000000000000000e+01, 2.600000000000000000e+01, 1.700000000000000000e+01
7, 4.700000000000000000e+01, 6.000000000000000000e+00, 8.600000000000000000e+01, 1.500000000000000000e+02, 1.970000000000000000e+02, 1.730000000000000000e+02, 2.600000000000000000e+01, 4.277000000000000000e+03, 1.600000000000000000e+01, 2.200000000000000000e+01
8, 2.090000000000000000e+02, 7.200000000000000000e+01, 3.500000000000000000e+01, 4.300000000000000000e+01, 1.000000000000000000e+01, 1.300000000000000000e+01, 2.300000000000000000e+01, 1.400000000000000000e+01, 4.513000000000000000e+03, 6.800000000000000000e+01
9, 1.010000000000000000e+02, 2.290000000000000000e+02, 1.700000000000000000e+01, 3.500000000000000000e+01, 1.100000000000000000e+01, 7.000000000000000000e+00, 1.700000000000000000e+01, 4.000000000000000000e+01, 8.000000000000000000e+01, 4.463000000000000000e+03
