class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 3.486000000000000000e+03, 1.200000000000000000e+02, 4.120000000000000000e+02, 1.060000000000000000e+02, 1.060000000000000000e+02, 1.800000000000000000e+01, 3.200000000000000000e+01, 9.600000000000000000e+01, 4.480000000000000000e+02, 1.760000000000000000e+02
1, 1.020000000000000000e+02, 4.162000000000000000e+03, 1.600000000000000000e+01, 4.100000000000000000e+01, 2.000000000000000000e+01, 1.400000000000000000e+01, 4.300000000000000000e+01, 1.700000000000000000e+01, 1.660000000000000000e+02, 4.190000000000000000e+02
2, 4.350000000000000000e+02, 3.400000000000000000e+01, 2.575000000000000000e+03, 4.680000000000000000e+02, 5.910000000000000000e+02, 2.540000000000000000e+02, 3.330000000000000000e+02, 1.600000000000000000e+02, 1.080000000000000000e+02, 4.200000000000000000e+01
3, 1.110000000000000000e+02, 2.200000000000000000e+01, 4.350000000000000000e+02, 2.312000000000000000e+03, 2.950000000000000000e+02, 1.026000000000000000e+03, 4.420000000000000000e+02, 1.890000000000000000e+02, 8.300000000000000000e+01, 8.500000000000000000e+01
4, 1.590000000000000000e+02, 2.200000000000000000e+01, 4.680000000000000000e+02, 2.580000000000000000e+02, 3.092000000000000000e+03, 1.450000000000000000e+02, 2.830000000000000000e+02, 5.040000000000000000e+02, 4.400000000000000000e+01, 2.500000000000000000e+01
5, 3.700000000000000000e+01, 1.600000000000000000e+01, 2.840000000000000000e+02, 1.128000000000000000e+03, 3.000000000000000000e+02, 2.715000000000000000e+03, 1.230000000000000000e+02, 3.370000000000000000e+02, 2.400000000000000000e+01, 3.600000000000000000e+01
6, 3.700000000000000000e+01, 4.100000000000000000e+01, 2.500000000000000000e+02, 4.950000000000000000e+02, 2.670000000000000000e+02, 7.100000000000000000e+01, 3.727000000000000000e+03, 2.700000000000000000e+01, 4.400000000000000000e+01, 4.100000000000000000e+01
7, 9.200000000000000000e+01, 2.000000000000000000e+01, 1.660000000000000000e+02, 2.570000000000000000e+02, 4.490000000000000000e+02, 3.650000000000000000e+02, 3.100000000000000000e+01, 3.512000000000000000e+03, 3.000000000000000000e+01, 7.800000000000000000e+01
8, 3.790000000000000000e+02, 1.740000000000000000e+02, 7.700000000000000000e+01, 9.100000000000000000e+01, 3.200000000000000000e+01, 1.200000000000000000e+01, 3.700000000000000000e+01, 1.800000000000000000e+01, 4.024000000000000000e+03, 1.560000000000000000e+02
9, 1.850000000000000000e+02, 4.300000000000000000e+02, 2.400000000000000000e+01, 8.400000000000000000e+01, 2.600000000000000000e+01, 1.800000000000000000e+01, 4.800000000000000000e+01, 8.600000000000000000e+01, 1.570000000000000000e+02, 3.942000000000000000e+03
