class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.450000000000000000e+03, 2.200000000000000000e+01, 1.270000000000000000e+02, 6.800000000000000000e+01, 4.100000000000000000e+01, 1.300000000000000000e+01, 1.600000000000000000e+01, 3.200000000000000000e+01, 1.580000000000000000e+02, 7.300000000000000000e+01
1, 3.600000000000000000e+01, 4.719000000000000000e+03, 5.000000000000000000e+00, 1.500000000000000000e+01, 2.000000000000000000e+00, 3.000000000000000000e+00, 1.600000000000000000e+01, 5.000000000000000000e+00, 4.600000000000000000e+01, 1.530000000000000000e+02
2, 1.950000000000000000e+02, 1.300000000000000000e+01, 4.175000000000000000e+03, 1.590000000000000000e+02, 1.350000000000000000e+02, 1.010000000000000000e+02, 1.200000000000000000e+02, 6.600000000000000000e+01, 2.100000000000000000e+01, 1.500000000000000000e+01
3, 7.400000000000000000e+01, 1.300000000000000000e+01, 1.490000000000000000e+02, 3.839000000000000000e+03, 1.390000000000000000e+02, 4.900000000000000000e+02, 1.500000000000000000e+02, 9.200000000000000000e+01, 2.800000000000000000e+01, 2.600000000000000000e+01
4, 4.400000000000000000e+01, 2.000000000000000000e+00, 1.320000000000000000e+02, 1.380000000000000000e+02, 4.382000000000000000e+03, 7.900000000000000000e+01, 8.100000000000000000e+01, 1.320000000000000000e+02, 8.000000000000000000e+00, 2.000000000000000000e+00
5, 1.700000000000000000e+01, 4.000000000000000000e+00, 9.200000000000000000e+01, 5.830000000000000000e+02, 1.160000000000000000e+02, 3.966000000000000000e+03, 5.300000000000000000e+01, 1.530000000000000000e+02, 8.000000000000000000e+00, 8.000000000000000000e+00
6, 2.000000000000000000e+01, 1.500000000000000000e+01, 1.070000000000000000e+02, 1.280000000000000000e+02, 7.200000000000000000e+01, 4.500000000000000000e+01, 4.585000000000000000e+03, 9.000000000000000000e+00, 1.000000000000000000e+01, 9.000000000000000000e+00
7, 3.500000000000000000e+01, 6.000000000000000000e+00, 5.000000000000000000e+01, 1.090000000000000000e+02, 1.250000000000000000e+02, 1.240000000000000000e+02, 1.500000000000000000e+01, 4.498000000000000000e+03, 1.400000000000000000e+01, 2.400000000000000000e+01
8, 1.410000000000000000e+02, 5.400000000000000000e+01, 2.900000000000000000e+01, 1.400000000000000000e+01, 8.000000000000000000e+00, 1.000000000000000000e+01, 8.000000000000000000e+00, 4.000000000000000000e+00, 4.674000000000000000e+03, 5.800000000000000000e+01
9, 7.500000000000000000e+01, 1.670000000000000000e+02, 1.500000000000000000e+01, 2.500000000000000000e+01, 7.000000000000000000e+00, 5.000000000000000000e+00, 1.400000000000000000e+01, 1.700000000000000000e+01, 6.500000000000000000e+01, 4.610000000000000000e+03
