class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.755000000000000000e+03, 1.400000000000000000e+01, 6.800000000000000000e+01, 2.500000000000000000e+01, 1.700000000000000000e+01, 1.100000000000000000e+01, 1.100000000000000000e+01, 9.000000000000000000e+00, 6.600000000000000000e+01, 2.400000000000000000e+01
1, 9.000000000000000000e+00, 4.878000000000000000e+03, 3.000000000000000000e+00, 6.000000000000000000e+00, 0.000000000000000000e+00, 6.000000000000000000e+00, 3.000000000000000000e+00, 3.000000000000000000e+00, 2.300000000000000000e+01, 6.900000000000000000e+01
2, 9.100000000000000000e+01, 5.000000000000000000e+00, 4.641000000000000000e+03, 6.900000000000000000e+01, 5.100000000000000000e+01, 4.700000000000000000e+01, 5.100000000000000000e+01, 2.600000000000000000e+01, 1.400000000000000000e+01, 5.000000000000000000e+00
3, 2.700000000000000000e+01, 5.000000000000000000e+00, 8.500000000000000000e+01, 4.448000000000000000e+03, 5.800000000000000000e+01, 2.450000000000000000e+02, 7.700000000000000000e+01, 3.200000000000000000e+01, 1.000000000000000000e+01, 1.300000000000000000e+01
4, 1.500000000000000000e+01, 0.000000000000000000e+00, 4.700000000000000000e+01, 6.400000000000000000e+01, 4.741000000000000000e+03, 4.100000000000000000e+01, 2.700000000000000000e+01, 5.900000000000000000e+01, 2.000000000000000000e+00, 4.000000000000000000e+00
5, 9.000000000000000000e+00, 1.000000000000000000e+00, 3.800000000000000000e+01, 2.750000000000000000e+02, 5.900000000000000000e+01, 4.523000000000000000e+03, 2.900000000000000000e+01, 5.600000000000000000e+01, 4.000000000000000000e+00, 6.000000000000000000e+00
6, 1.000000000000000000e+01, 1.000000000000000000e+01, 5.000000000000000000e+01, 6.100000000000000000e+01, 3.400000000000000000e+01, 1.800000000000000000e+01, 4.802000000000000000e+03, 2.000000000000000000e+00, 9.000000000000000000e+00, 4.000000000000000000e+00
7, 8.000000000000000000e+00, 0.000000000000000000e+00, 1.700000000000000000e+01, 5.500000000000000000e+01, 5.800000000000000000e+01, 5.300000000000000000e+01, 4.000000000000000000e+00, 4.797000000000000000e+03, 2.000000000000000000e+00, 6.000000000000000000e+00
8, 7.100000000000000000e+01, 2.200000000000000000e+01, 8.000000000000000000e+00, 1.100000000000000000e+01, 4.000000000000000000e+00, 4.000000000000000000e+00, 8.000000000000000000e+00, 4.000000000000000000e+00, 4.843000000000000000e+03, 2.500000000000000000e+01
9, 3.100000000000000000e+01, 7.100000000000000000e+01, 3.000000000000000000e+00, 1.300000000000000000e+01, 4.000000000000000000e+00, 3.000000000000000000e+00, 6.000000000000000000e+00, 4.000000000000000000e+00, 2.800000000000000000e+01, 4.837000000000000000e+03
