class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.587000000000000000e+03, 2.900000000000000000e+01, 9.600000000000000000e+01, 3.600000000000000000e+01, 2.700000000000000000e+01, 1.400000000000000000e+01, 1.900000000000000000e+01, 2.100000000000000000e+01, 1.160000000000000000e+02, 5.500000000000000000e+01
1, 2.900000000000000000e+01, 4.785000000000000000e+03, 1.000000000000000000e+00, 8.000000000000000000e+00, 4.000000000000000000e+00, 6.000000000000000000e+00, 7.000000000000000000e+00, 7.000000000000000000e+00, 3.700000000000000000e+01, 1.160000000000000000e+02
2, 1.580000000000000000e+02, 6.000000000000000000e+00, 4.349000000000000000e+03, 1.210000000000000000e+02, 1.010000000000000000e+02, 8.900000000000000000e+01, 9.700000000000000000e+01, 4.700000000000000000e+01, 2.100000000000000000e+01, 1.100000000000000000e+01
3, 4.300000000000000000e+01, 1.000000000000000000e+01, 1.410000000000000000e+02, 4.064000000000000000e+03, 1.040000000000000000e+02, 4.100000000000000000e+02, 1.140000000000000000e+02, 7.300000000000000000e+01, 1.700000000000000000e+01, 2.400000000000000000e+01
4, 3.300000000000000000e+01, 1.000000000000000000e+00, 1.090000000000000000e+02, 9.700000000000000000e+01, 4.512000000000000000e+03, 7.100000000000000000e+01, 6.100000000000000000e+01, 1.020000000000000000e+02, 6.000000000000000000e+00, 8.000000000000000000e+00
5, 1.600000000000000000e+01, 6.000000000000000000e+00, 9.100000000000000000e+01, 4.640000000000000000e+02, 8.900000000000000000e+01, 4.165000000000000000e+03, 3.900000000000000000e+01, 1.170000000000000000e+02, 7.000000000000000000e+00, 6.000000000000000000e+00
6, 1.200000000000000000e+01, 6.000000000000000000e+00, 9.500000000000000000e+01, 1.090000000000000000e+02, 5.400000000000000000e+01, 3.300000000000000000e+01, 4.666000000000000000e+03, 7.000000000000000000e+00, 1.400000000000000000e+01, 4.000000000000000000e+00
7, 2.200000000000000000e+01, 2.000000000000000000e+00, 4.200000000000000000e+01, 1.020000000000000000e+02, 9.300000000000000000e+01, 7.800000000000000000e+01, 7.000000000000000000e+00, 4.626000000000000000e+03, 8.000000000000000000e+00, 2.000000000000000000e+01
8, 1.060000000000000000e+02, 3.700000000000000000e+01, 1.900000000000000000e+01, 1.700000000000000000e+01, 6.000000000000000000e+00, 7.000000000000000000e+00, 9.000000000000000000e+00, 9.000000000000000000e+00, 4.749000000000000000e+03, 4.100000000000000000e+01
9, 4.900000000000000000e+01, 1.220000000000000000e+02, 1.100000000000000000e+01, 1.900000000000000000e+01, 6.000000000000000000e+00, 6.000000000000000000e+00, 1.600000000000000000e+01, 2.000000000000000000e+01, 3.900000000000000000e+01, 4.712000000000000000e+03
