class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 2.540000000000000000e+03, 3.050000000000000000e+02, 4.320000000000000000e+02, 1.340000000000000000e+02, 1.080000000000000000e+02, 8.100000000000000000e+01, 6.500000000000000000e+01, 1.200000000000000000e+02, 9.410000000000000000e+02, 2.740000000000000000e+02
1, 2.570000000000000000e+02, 3.122000000000000000e+03, 3.900000000000000000e+01, 7.100000000000000000e+01, 2.800000000000000000e+01, 3.500000000000000000e+01, 9.600000000000000000e+01, 6.700000000000000000e+01, 3.390000000000000000e+02, 9.460000000000000000e+02
2, 4.210000000000000000e+02, 8.300000000000000000e+01, 1.631000000000000000e+03, 5.490000000000000000e+02, 7.150000000000000000e+02, 4.740000000000000000e+02, 5.560000000000000000e+02, 2.610000000000000000e+02, 2.060000000000000000e+02, 1.040000000000000000e+02
3, 1.070000000000000000e+02, 8.400000000000000000e+01, 5.070000000000000000e+02, 1.438000000000000000e+03, 2.720000000000000000e+02, 1.323000000000000000e+03, 6.460000000000000000e+02, 3.310000000000000000e+02, 1.290000000000000000e+02, 1.630000000000000000e+02
4, 2.240000000000000000e+02, 7.200000000000000000e+01, 7.880000000000000000e+02, 3.280000000000000000e+02, 1.708000000000000000e+03, 3.390000000000000000e+02, 6.960000000000000000e+02, 6.570000000000000000e+02, 9.100000000000000000e+01, 9.700000000000000000e+01
5, 6.700000000000000000e+01, 6.800000000000000000e+01, 3.450000000000000000e+02, 1.083000000000000000e+03, 3.150000000000000000e+02, 2.219000000000000000e+03, 3.190000000000000000e+02, 4.200000000000000000e+02, 5.900000000000000000e+01, 1.050000000000000000e+02
6, 4.100000000000000000e+01, 8.300000000000000000e+01, 4.210000000000000000e+02, 4.860000000000000000e+02, 4.510000000000000000e+02, 2.240000000000000000e+02, 2.988000000000000000e+03, 1.390000000000000000e+02, 5.700000000000000000e+01, 1.100000000000000000e+02
7, 8.000000000000000000e+01, 8.400000000000000000e+01, 1.920000000000000000e+02, 3.110000000000000000e+02, 4.800000000000000000e+02, 5.750000000000000000e+02, 2.050000000000000000e+02, 2.739000000000000000e+03, 6.200000000000000000e+01, 2.720000000000000000e+02
8, 8.020000000000000000e+02, 3.720000000000000000e+02, 1.870000000000000000e+02, 1.160000000000000000e+02, 2.800000000000000000e+01, 4.100000000000000000e+01, 4.500000000000000000e+01, 4.800000000000000000e+01, 3.048000000000000000e+03, 3.130000000000000000e+02
9, 2.110000000000000000e+02, 9.740000000000000000e+02, 6.800000000000000000e+01, 1.080000000000000000e+02, 3.400000000000000000e+01, 5.400000000000000000e+01, 1.180000000000000000e+02, 2.070000000000000000e+02, 3.190000000000000000e+02, 2.907000000000000000e+03
