class,0,1,2,3,4,5,6,7,8,9
0,4999,0,1,0,0,0,0,0,0,0
1,0,4998,0,0,0,0,0,0,0,2
2,1,0,4997,1,1,0,0,0,0,0
3,0,0,0,4995,1,2,1,1,0,0
4,0,0,0,2,4998,0,0,0,0,0
5,0,0,0,2,0,4997,0,1,0,0
6,0,0,0,0,0,0,5000,0,0,0
7,0,0,0,0,0,0,0,5000,0,0
8,0,0,0,0,0,0,0,0,5000,0
9,0,0,0,0,0,0,0,0,0,5000
