class,0,1,2,3,4,5,6,7,8,9
0,4784,2,27,32,9,2,0,1,76,67
1,0,4919,0,0,0,2,1,0,8,70
2,4,0,4944,20,10,8,1,7,3,3
3,0,0,2,4889,15,76,2,2,8,6
4,3,1,1,13,4955,10,6,4,2,5
5,1,0,6,19,15,4947,0,9,3,0
6,1,1,4,23,7,11,4945,4,2,2
7,13,0,2,4,4,6,0,4962,0,9
8,6,0,0,1,1,0,0,0,4988,4
9,0,0,0,0,0,0,0,1,0,4999
