class,0,1,2,3,4,5,6,7,8,9
0,4913,4,6,1,0,0,2,7,53,14
1,0,4997,0,0,0,0,0,0,0,3
2,11,0,4953,4,6,5,8,9,4,0
3,0,0,21,4917,3,22,14,11,7,5
4,0,0,10,4,4955,1,2,26,1,1
5,1,1,8,17,3,4912,3,55,0,0
6,1,0,2,3,2,0,4986,0,6,0
7,0,0,1,2,0,3,0,4994,0,0
8,1,0,0,0,0,0,0,0,4996,3
9,0,5,0,0,1,0,0,0,7,4987
