class,0,1,2,3,4,5,6,7,8,9
0,4987,0,1,1,8,0,0,0,3,0
1,2,4904,1,0,0,0,15,0,0,78
2,17,0,4925,21,16,7,9,5,0,0
3,0,0,0,4955,4,27,8,5,1,0
4,0,0,0,0,4992,3,0,5,0,0
5,1,0,0,30,9,4946,5,9,0,0
6,0,0,1,1,2,2,4994,0,0,0
7,0,0,1,1,3,1,0,4994,0,0
8,12,4,5,9,1,0,11,2,4949,7
9,1,0,0,8,0,0,0,0,0,4991
