class,0,1,2,3,4,5,6,7,8,9
0,873,0,17,2,13,0,3,3,82,7
1,12,791,1,1,0,1,5,0,71,118
2,71,0,783,31,56,17,28,6,4,4
3,25,1,64,640,49,144,38,20,12,7
4,15,0,72,22,845,6,18,18,4,0
5,11,0,47,97,51,761,8,23,2,0
6,5,0,55,35,10,4,889,0,1,1
7,23,0,13,23,61,47,2,823,2,6
8,33,1,3,4,1,0,7,1,945,5
9,38,7,4,6,3,0,2,2,41,897
