class,0,1,2,3,4,5,6,7,8,9
0,4985,3,0,2,2,0,0,1,6,1
1,2,4989,0,1,0,0,0,1,0,7
2,1,0,4967,7,3,3,0,19,0,0
3,1,1,1,4960,2,22,0,12,1,0
4,4,0,1,2,4972,1,1,16,3,0
5,1,0,2,11,4,4964,0,18,0,0
6,0,6,5,4,2,2,4980,0,1,0
7,0,0,0,0,0,0,0,5000,0,0
8,4,1,1,0,0,0,1,0,4993,0
9,5,7,1,7,0,0,0,2,8,4970
