class,0,1,2,3,4,5,6,7,8,9
0,4970,0,11,2,6,0,0,6,1,4
1,1,4979,0,1,0,0,0,1,4,14
2,2,1,4944,3,22,3,21,4,0,0
3,1,0,6,4826,28,32,93,13,1,0
4,0,0,1,1,4969,0,2,26,1,0
5,0,1,3,12,17,4918,35,14,0,0
6,0,0,0,0,3,1,4996,0,0,0
7,0,0,0,0,2,2,2,4994,0,0
8,1,1,3,0,1,1,3,2,4986,2
9,0,0,2,1,2,0,1,6,8,4980
