class,0,1,2,3,4,5,6,7,8,9
0,4152,16,54,59,30,16,26,18,594,35
1,31,4527,8,36,0,9,25,3,187,174
2,246,1,4110,248,117,110,113,17,28,10
3,48,4,150,4149,96,310,135,49,41,18
4,42,3,116,216,4370,66,95,60,26,6
5,19,4,75,679,113,3980,38,83,5,4
6,13,5,114,191,30,46,4561,7,23,10
7,39,1,107,216,287,113,18,4184,18,17
8,34,15,14,46,7,5,7,0,4835,37
9,107,88,12,109,6,7,10,19,169,4473
