class,0,1,2,3,4,5,6,7,8,9
0,3999,57,196,99,45,29,55,40,406,74
1,18,4671,5,26,7,1,27,2,32,211
2,163,7,3796,156,154,195,437,25,63,4
3,31,11,124,3801,171,527,267,19,27,22
4,49,5,155,120,4144,170,100,242,10,5
5,9,4,97,768,147,3710,183,53,18,11
6,9,5,44,198,113,27,4591,2,9,2
7,25,6,169,191,122,533,24,3893,18,19
8,106,132,15,82,4,5,81,2,4501,72
9,75,160,7,92,9,3,22,17,58,4557
