class,0,1,2,3,4,5,6,7,8,9
0,932,2,15,6,3,1,7,1,18,15
1,4,921,0,2,1,1,3,0,11,57
2,17,0,905,10,17,18,24,4,4,1
3,4,0,34,774,13,122,32,14,6,1
4,5,0,21,11,925,15,10,12,1,0
5,2,0,22,28,12,920,6,9,1,0
6,1,0,22,7,4,4,959,2,0,1
7,7,0,4,10,21,15,2,937,1,3
8,32,3,4,4,0,1,7,0,940,9
9,4,4,2,4,0,0,2,0,8,976
