class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 1.516000000000000000e+03, 5.000000000000000000e+01, 9.800000000000000000e+01, 6.000000000000000000e+00, 2.000000000000000000e+01, 2.000000000000000000e+00, 2.800000000000000000e+01, 1.000000000000000000e+01, 2.440000000000000000e+02, 2.600000000000000000e+01
1, 4.400000000000000000e+01, 1.852000000000000000e+03, 6.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00, 1.800000000000000000e+01, 2.000000000000000000e+00, 1.000000000000000000e+01, 6.400000000000000000e+01
2, 1.560000000000000000e+02, 8.000000000000000000e+00, 1.360000000000000000e+03, 3.000000000000000000e+01, 1.700000000000000000e+02, 6.200000000000000000e+01, 1.300000000000000000e+02, 1.200000000000000000e+01, 6.400000000000000000e+01, 8.000000000000000000e+00
3, 1.100000000000000000e+02, 2.000000000000000000e+01, 2.040000000000000000e+02, 4.800000000000000000e+02, 1.980000000000000000e+02, 3.800000000000000000e+02, 3.940000000000000000e+02, 3.400000000000000000e+01, 1.160000000000000000e+02, 6.400000000000000000e+01
4, 6.600000000000000000e+01, 4.000000000000000000e+00, 2.260000000000000000e+02, 6.000000000000000000e+00, 1.372000000000000000e+03, 1.800000000000000000e+01, 1.760000000000000000e+02, 7.800000000000000000e+01, 4.600000000000000000e+01, 8.000000000000000000e+00
5, 4.400000000000000000e+01, 8.000000000000000000e+00, 2.240000000000000000e+02, 1.040000000000000000e+02, 1.600000000000000000e+02, 1.188000000000000000e+03, 1.060000000000000000e+02, 8.400000000000000000e+01, 5.800000000000000000e+01, 2.400000000000000000e+01
6, 3.000000000000000000e+01, 0.000000000000000000e+00, 1.940000000000000000e+02, 3.000000000000000000e+01, 5.400000000000000000e+01, 1.600000000000000000e+01, 1.656000000000000000e+03, 6.000000000000000000e+00, 1.200000000000000000e+01, 2.000000000000000000e+00
7, 1.200000000000000000e+02, 2.000000000000000000e+00, 1.100000000000000000e+02, 1.200000000000000000e+01, 2.180000000000000000e+02, 9.600000000000000000e+01, 3.600000000000000000e+01, 1.328000000000000000e+03, 2.600000000000000000e+01, 5.200000000000000000e+01
8, 8.200000000000000000e+01, 9.400000000000000000e+01, 8.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+01, 0.000000000000000000e+00, 1.754000000000000000e+03, 2.800000000000000000e+01
9, 9.800000000000000000e+01, 1.880000000000000000e+02, 1.000000000000000000e+01, 4.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00, 1.800000000000000000e+01, 2.000000000000000000e+00, 5.000000000000000000e+01, 1.628000000000000000e+03
