class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 1.514000000000000000e+03, 1.200000000000000000e+01, 1.540000000000000000e+02, 4.000000000000000000e+00, 1.000000000000000000e+01, 1.200000000000000000e+01, 5.800000000000000000e+01, 2.400000000000000000e+01, 7.000000000000000000e+01, 1.420000000000000000e+02
1, 2.400000000000000000e+01, 1.550000000000000000e+03, 8.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.600000000000000000e+01, 3.800000000000000000e+01, 4.000000000000000000e+00, 8.000000000000000000e+00, 3.520000000000000000e+02
2, 1.040000000000000000e+02, 0.000000000000000000e+00, 1.404000000000000000e+03, 4.000000000000000000e+00, 3.000000000000000000e+01, 1.680000000000000000e+02, 2.140000000000000000e+02, 3.800000000000000000e+01, 6.000000000000000000e+00, 3.200000000000000000e+01
3, 8.000000000000000000e+01, 4.000000000000000000e+00, 1.680000000000000000e+02, 5.320000000000000000e+02, 3.200000000000000000e+01, 6.160000000000000000e+02, 3.480000000000000000e+02, 9.600000000000000000e+01, 2.800000000000000000e+01, 9.600000000000000000e+01
4, 3.000000000000000000e+01, 0.000000000000000000e+00, 2.780000000000000000e+02, 1.600000000000000000e+01, 1.000000000000000000e+03, 1.180000000000000000e+02, 2.920000000000000000e+02, 2.300000000000000000e+02, 8.000000000000000000e+00, 2.800000000000000000e+01
5, 8.000000000000000000e+00, 2.000000000000000000e+00, 1.100000000000000000e+02, 3.400000000000000000e+01, 2.000000000000000000e+01, 1.600000000000000000e+03, 9.600000000000000000e+01, 9.800000000000000000e+01, 4.000000000000000000e+00, 2.800000000000000000e+01
6, 8.000000000000000000e+00, 0.000000000000000000e+00, 6.800000000000000000e+01, 1.200000000000000000e+01, 6.000000000000000000e+00, 4.400000000000000000e+01, 1.842000000000000000e+03, 8.000000000000000000e+00, 4.000000000000000000e+00, 8.000000000000000000e+00
7, 2.000000000000000000e+01, 8.000000000000000000e+00, 8.200000000000000000e+01, 1.200000000000000000e+01, 1.600000000000000000e+01, 1.460000000000000000e+02, 8.200000000000000000e+01, 1.570000000000000000e+03, 4.000000000000000000e+00, 6.000000000000000000e+01
8, 1.500000000000000000e+02, 6.400000000000000000e+01, 3.600000000000000000e+01, 2.000000000000000000e+00, 4.000000000000000000e+00, 1.200000000000000000e+01, 8.000000000000000000e+01, 4.000000000000000000e+00, 1.490000000000000000e+03, 1.580000000000000000e+02
9, 1.800000000000000000e+01, 3.200000000000000000e+01, 4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.000000000000000000e+00, 1.600000000000000000e+01, 0.000000000000000000e+00, 1.800000000000000000e+01, 1.906000000000000000e+03
