class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 2.532000000000000000e+03, 1.020000000000000000e+02, 9.600000000000000000e+01, 1.340000000000000000e+02, 1.600000000000000000e+01, 5.800000000000000000e+01, 4.400000000000000000e+01, 5.800000000000000000e+01, 8.580000000000000000e+02, 1.020000000000000000e+02
1, 3.580000000000000000e+02, 2.172000000000000000e+03, 6.000000000000000000e+00, 1.000000000000000000e+02, 8.000000000000000000e+00, 5.000000000000000000e+01, 1.200000000000000000e+02, 3.000000000000000000e+01, 5.520000000000000000e+02, 6.040000000000000000e+02
2, 6.700000000000000000e+02, 1.600000000000000000e+01, 1.104000000000000000e+03, 4.960000000000000000e+02, 2.120000000000000000e+02, 5.720000000000000000e+02, 6.160000000000000000e+02, 1.100000000000000000e+02, 1.660000000000000000e+02, 3.800000000000000000e+01
3, 2.440000000000000000e+02, 4.400000000000000000e+01, 2.040000000000000000e+02, 1.514000000000000000e+03, 4.600000000000000000e+01, 1.202000000000000000e+03, 4.320000000000000000e+02, 1.280000000000000000e+02, 1.300000000000000000e+02, 5.600000000000000000e+01
4, 2.100000000000000000e+02, 2.200000000000000000e+01, 4.640000000000000000e+02, 3.880000000000000000e+02, 1.000000000000000000e+03, 3.320000000000000000e+02, 1.106000000000000000e+03, 3.700000000000000000e+02, 8.000000000000000000e+01, 2.800000000000000000e+01
5, 2.000000000000000000e+02, 2.800000000000000000e+01, 2.160000000000000000e+02, 8.660000000000000000e+02, 1.260000000000000000e+02, 2.136000000000000000e+03, 1.460000000000000000e+02, 1.960000000000000000e+02, 6.600000000000000000e+01, 2.000000000000000000e+01
6, 8.800000000000000000e+01, 6.000000000000000000e+00, 1.640000000000000000e+02, 6.280000000000000000e+02, 1.260000000000000000e+02, 1.240000000000000000e+02, 2.766000000000000000e+03, 1.800000000000000000e+01, 7.200000000000000000e+01, 8.000000000000000000e+00
7, 1.720000000000000000e+02, 1.600000000000000000e+01, 1.180000000000000000e+02, 3.100000000000000000e+02, 2.760000000000000000e+02, 6.080000000000000000e+02, 1.520000000000000000e+02, 2.164000000000000000e+03, 7.000000000000000000e+01, 1.140000000000000000e+02
8, 1.180000000000000000e+03, 2.740000000000000000e+02, 1.600000000000000000e+01, 8.200000000000000000e+01, 6.000000000000000000e+00, 3.800000000000000000e+01, 4.200000000000000000e+01, 8.000000000000000000e+00, 2.204000000000000000e+03, 1.500000000000000000e+02
9, 2.420000000000000000e+02, 4.420000000000000000e+02, 1.000000000000000000e+01 ,1.220000000000000000e+02, 1.200000000000000000e+01, 4.800000000000000000e+01, 1.760000000000000000e+02, 1.020000000000000000e+02, 5.500000000000000000e+02, 2.296000000000000000e+03
