class,0,1,2,3,4,5,6,7,8,9
0,1686,208,281,31,144,57,162,1054,792,585
1,103,1876,10,16,34,19,167,964,46,1765
2,191,41,379,96,1312,254,941,1517,148,121
3,40,22,85,253,464,1103,721,2120,53,139
4,59,16,87,46,1593,122,1040,1926,35,76
5,20,19,73,102,450,1296,252,2708,24,56
6,15,12,66,112,756,142,3088,725,16,68
7,15,14,17,38,284,216,166,4151,15,84
8,838,455,62,36,35,49,193,406,1997,929
9,79,229,9,15,22,17,216,1530,65,2818
