class,0,1,2,3,4,5,6,7,8,9
0,4780,2,121,1,6,15,1,16,37,21
1,81,4495,6,0,0,1,0,6,20,391
2,144,0,4415,41,302,30,27,41,0,0
3,6,0,412,3780,97,448,253,4,0,0
4,0,0,111,19,4783,1,35,51,0,0
5,12,0,299,441,48,4165,29,6,0,0
6,0,0,38,36,144,3,4779,0,0,0
7,5,0,125,5,116,3,0,4746,0,0
8,190,8,11,0,0,18,1,0,4767,5
9,101,8,21,3,3,1,0,42,1,4820
