class,0,1,2,3,4,5,6,7,8,9
0,3358,164,491,152,32,21,11,227,506,38
1,1,4872,23,14,2,9,4,27,42,6
2,61,4,4519,201,23,67,41,68,16,0
3,6,3,166,4328,22,224,51,151,47,2
4,2,5,338,464,3713,118,74,253,32,1
5,3,4,123,898,28,3624,20,283,17,0
6,3,35,472,496,25,40,3877,30,21,1
7,0,2,73,116,34,25,3,4741,6,0
8,14,58,76,26,2,3,9,20,4789,3
9,8,1205,49,163,1,6,12,128,173,3255
