class,0,1,2,3,4,5,6,7,8,9
0,935,1,13,11,7,2,1,3,21,6
1,12,959,0,3,0,1,1,0,5,19
2,23,0,860,26,21,38,18,10,3,1
3,10,0,17,818,17,108,17,8,4,1
4,4,1,14,21,911,27,8,12,2,0
5,5,0,7,54,9,921,0,4,0,0
6,4,0,11,20,3,10,947,2,2,1
7,6,0,4,10,8,32,0,939,1,0
8,33,6,1,4,0,0,3,1,946,6
9,10,31,2,7,0,1,2,1,7,939
