class,0,1,2,3,4,5,6,7,8,9
0,912,5,29,3,2,1,1,3,37,7
1,10,924,1,0,1,1,0,2,15,46
2,26,0,892,8,14,13,26,12,7,2
3,11,3,55,735,8,81,61,24,11,11
4,16,0,55,36,780,20,47,45,1,0
5,13,3,17,67,7,838,25,21,5,4
6,9,0,29,14,0,3,939,2,2,2
7,7,0,10,8,4,13,4,951,3,0
8,25,2,2,0,0,1,1,1,958,10
9,13,17,3,1,0,0,1,2,15,948
