class,0,1,2,3,4,5,6,7,8,9
0,4130,5,122,210,54,19,13,96,346,5
1,34,4611,11,98,9,15,10,11,180,21
2,95,1,4108,322,268,45,62,65,34,0
3,5,0,21,4701,82,127,23,25,16,0
4,12,0,16,182,4638,51,9,84,8,0
5,2,0,36,1010,74,3768,7,94,9,0
6,8,0,39,698,146,46,4017,11,35,0
7,0,0,6,161,98,41,1,4685,8,0
8,27,6,11,46,11,4,2,4,4887,2
9,67,148,11,289,35,39,15,86,249,4061
