class,0,1,2,3,4,5,6,7,8,9
0,4814,18,58,33,3,6,6,6,41,15
1,56,4836,0,10,1,1,2,0,74,20
2,294,24,4114,238,169,60,33,29,33,6
3,86,15,79,4461,101,176,18,19,22,23
4,153,9,109,194,4322,118,18,68,7,2
5,54,13,93,903,68,3797,6,48,11,7
6,40,23,157,442,182,60,4066,8,22,0
7,62,32,45,218,61,434,1,4114,9,24
8,469,14,10,30,2,0,4,3,4439,29
9,164,396,9,30,6,4,1,4,53,4333
